2023-01-08 05:33:09.711 -03:00 [Information] [] Starting application
2023-01-08 05:33:10.910 -03:00 [Information] [Hangfire.BackgroundJobServer] Starting Hangfire Server using job storage: 'SQL Server: (localdb)\mssqllocaldb@Scribere'
2023-01-08 05:33:10.914 -03:00 [Information] [Hangfire.BackgroundJobServer] Using the following options for SQL Server job storage: Queue poll interval: 00:00:00.
2023-01-08 05:33:10.915 -03:00 [Information] [Hangfire.BackgroundJobServer] Using the following options for Hangfire Server:
    Worker count: 2
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2023-01-08 10:34:05.930 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/img/!logged-user.jpg" responded 404 in 0.0306 ms
2023-01-08 10:34:05.934 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/img/!sample-user.jpg" responded 404 in 0.0231 ms
2023-01-08 10:34:05.943 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 37.7037 ms
2023-01-08 10:34:05.980 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 49.6594 ms
2023-01-08 10:34:05.986 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 51.0173 ms
2023-01-08 10:34:05.994 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/edit" responded 200 in 42.0863 ms
2023-01-08 10:34:06.324 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/lib/tinymce/plugins/paste/plugin.min.js" responded 404 in 0.0570 ms
2023-01-08 10:34:06.357 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 22.6293 ms
2023-01-08 10:34:07.826 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/img/icon192x192.png" responded 404 in 0.0273 ms
2023-01-08 10:34:07.838 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 12.3921 ms
2023-01-08 10:34:09.470 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/serviceworker" responded 200 in 16.1753 ms
2023-01-08 10:34:37.048 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/edit" responded 200 in 11.3856 ms
2023-01-08 10:34:37.665 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/img/logo-light.png" responded 404 in 0.0287 ms
2023-01-08 10:34:37.690 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/img/!sample-user.jpg" responded 404 in 0.0262 ms
2023-01-08 10:34:37.701 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 36.4083 ms
2023-01-08 10:34:37.705 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 14.9118 ms
2023-01-08 10:34:37.710 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/img/!logged-user.jpg" responded 404 in 0.0267 ms
2023-01-08 10:34:37.726 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/blog/edit" responded 200 in 19.0776 ms
2023-01-08 10:34:37.728 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 17.7458 ms
2023-01-08 10:34:38.076 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/lib/tinymce/plugins/paste/plugin.min.js" responded 404 in 0.0246 ms
2023-01-08 10:34:38.106 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 29.4953 ms
2023-01-08 10:34:39.712 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/img/icon192x192.png" responded 404 in 0.0266 ms
2023-01-08 10:34:39.723 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/Shared/Error" responded 404 in 10.8437 ms
2023-01-08 10:34:41.367 -03:00 [Information] [Serilog.AspNetCore.RequestLoggingMiddleware] HTTP "GET" "/serviceworker" responded 200 in 1.8540 ms
